package-registry_1  | 2021/09/08 14:07:34 Package registry started.
package-registry_1  | 2021/09/08 14:07:34 elastic_agent       	     0.0.7	/packages/production/elastic_agent/0.0.7
package-registry_1  | 2021/09/08 14:07:34 elastic_agent       	     1.0.0	/packages/production/elastic_agent/1.0.0
package-registry_1  | 2021/09/08 14:07:34 elastic_agent       	     1.1.1	/packages/production/elastic_agent/1.1.1
package-registry_1  | 2021/09/08 14:07:34 elastic_agent       	     1.2.0	/packages/production/elastic_agent/1.2.0
package-registry_1  | 2021/09/08 14:07:34 elastic_agent       	     1.2.1	/packages/production/elastic_agent/1.2.1
package-registry_1  | 2021/09/08 14:07:34 endpoint            	    0.13.0	/packages/production/endpoint/0.13.0
package-registry_1  | 2021/09/08 14:07:34 endpoint            	    0.13.1	/packages/production/endpoint/0.13.1
package-registry_1  | 2021/09/08 14:07:34 endpoint            	    0.16.0	/packages/production/endpoint/0.16.0
package-registry_1  | 2021/09/08 14:07:34 endpoint            	    0.16.1	/packages/production/endpoint/0.16.1
package-registry_1  | 2021/09/08 14:07:34 endpoint            	    0.16.2	/packages/production/endpoint/0.16.2
package-registry_1  | 2021/09/08 14:07:34 endpoint            	    0.17.0	/packages/production/endpoint/0.17.0
package-registry_1  | 2021/09/08 14:07:34 endpoint            	    0.17.1	/packages/production/endpoint/0.17.1
package-registry_1  | 2021/09/08 14:07:34 endpoint            	    0.18.0	/packages/production/endpoint/0.18.0
package-registry_1  | 2021/09/08 14:07:34 endpoint            	    0.19.1	/packages/production/endpoint/0.19.1
package-registry_1  | 2021/09/08 14:07:34 endpoint            	    0.20.2	/packages/production/endpoint/0.20.2
package-registry_1  | 2021/09/08 14:07:34 endpoint            	     1.0.0	/packages/production/endpoint/1.0.0
package-registry_1  | 2021/09/08 14:07:34 endpoint            	     1.1.0	/packages/production/endpoint/1.1.0
package-registry_1  | 2021/09/08 14:07:34 endpoint            	     1.1.1	/packages/production/endpoint/1.1.1
package-registry_1  | 2021/09/08 14:07:34 f5                  	     0.1.0	/packages/production/f5/0.1.0
package-registry_1  | 2021/09/08 14:07:34 f5                  	     0.2.2	/packages/production/f5/0.2.2
package-registry_1  | 2021/09/08 14:07:34 f5                  	     0.2.3	/packages/production/f5/0.2.3
package-registry_1  | 2021/09/08 14:07:34 f5                  	     0.2.4	/packages/production/f5/0.2.4
