elasticsearch_1  | Created elasticsearch keystore in /usr/share/elasticsearch/config/elasticsearch.keystore
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:51,133Z", "level": "INFO", "component": "o.e.c.c.ClusterBootstrapService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "no discovery configuration found, will perform best-effort cluster bootstrapping after [3s] unless existing master is discovered" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:54,137Z", "level": "INFO", "component": "o.e.c.c.Coordinator", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "setting initial configuration to VotingConfiguration{StdLjr0dQAWqupR_nuGQRA}" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:54,271Z", "level": "INFO", "component": "o.e.c.s.MasterService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "elected-as-master ([1] nodes joined)[{013f5d6c2ef8}{StdLjr0dQAWqupR_nuGQRA}{jSWodXmUQ0CT-sqKWZ6iCw}{127.0.0.1}{127.0.0.1:9300}{cdfhilmrstw} elect leader, _BECOME_MASTER_TASK_, _FINISH_ELECTION_], term: 1, version: 1, delta: master node changed {previous [], current [{013f5d6c2ef8}{StdLjr0dQAWqupR_nuGQRA}{jSWodXmUQ0CT-sqKWZ6iCw}{127.0.0.1}{127.0.0.1:9300}{cdfhilmrstw}]}" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:54,299Z", "level": "INFO", "component": "o.e.c.c.CoordinationState", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "cluster UUID set to [1VPmRPFYTe6-2YrBS2HhGA]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:54,315Z", "level": "INFO", "component": "o.e.c.s.ClusterApplierService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "master node changed {previous [], current [{013f5d6c2ef8}{StdLjr0dQAWqupR_nuGQRA}{jSWodXmUQ0CT-sqKWZ6iCw}{127.0.0.1}{127.0.0.1:9300}{cdfhilmrstw}]}, term: 1, version: 1, reason: Publication{term=1, version=1}" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:54,363Z", "level": "INFO", "component": "o.e.h.AbstractHttpServerTransport", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "publish_address {172.18.0.3:9200}, bound_addresses {0.0.0.0:9200}", "cluster.uuid": "1VPmRPFYTe6-2YrBS2HhGA", "node.id": "StdLjr0dQAWqupR_nuGQRA"  }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:54,363Z", "level": "INFO", "component": "o.e.n.Node", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "started", "cluster.uuid": "1VPmRPFYTe6-2YrBS2HhGA", "node.id": "StdLjr0dQAWqupR_nuGQRA"  }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:54,434Z", "level": "INFO", "component": "o.e.g.GatewayService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "recovered [0] indices into cluster_state", "cluster.uuid": "1VPmRPFYTe6-2YrBS2HhGA", "node.id": "StdLjr0dQAWqupR_nuGQRA"  }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:54,582Z", "level": "INFO", "component": "o.e.c.m.MetadataIndexTemplateService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "adding index template [.ml-stats] for index patterns [.ml-stats-*]", "cluster.uuid": "1VPmRPFYTe6-2YrBS2HhGA", "node.id": "StdLjr0dQAWqupR_nuGQRA"  }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:54,637Z", "level": "INFO", "component": "o.e.c.m.MetadataIndexTemplateService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "adding index template [.ml-notifications-000002] for index patterns [.ml-notifications-000002]", "cluster.uuid": "1VPmRPFYTe6-2YrBS2HhGA", "node.id": "StdLjr0dQAWqupR_nuGQRA"  }
