kibana_1  | {"type":"response","@timestamp":"2021-09-08T14:08:35+00:00","tags":[],"pid":1224,"method":"get","statusCode":200,"req":{"url":"/login","method":"get","headers":{"host":"127.0.0.1:5601","user-agent":"curl/7.61.1","accept":"*/*"},"remoteAddress":"127.0.0.1","userAgent":"curl/7.61.1"},"res":{"statusCode":200,"responseTime":24,"contentLength":144457},"message":"GET /login 200 24ms - 141.1KB"}
kibana_1  | {"type":"response","@timestamp":"2021-09-08T14:08:36+00:00","tags":[],"pid":1224,"method":"get","statusCode":200,"req":{"url":"/login","method":"get","headers":{"host":"127.0.0.1:5601","user-agent":"curl/7.61.1","accept":"*/*"},"remoteAddress":"127.0.0.1","userAgent":"curl/7.61.1"},"res":{"statusCode":200,"responseTime":19,"contentLength":144457},"message":"GET /login 200 19ms - 141.1KB"}
kibana_1  | {"type":"response","@timestamp":"2021-09-08T14:08:38+00:00","tags":[],"pid":1224,"method":"get","statusCode":200,"req":{"url":"/login","method":"get","headers":{"host":"127.0.0.1:5601","user-agent":"curl/7.61.1","accept":"*/*"},"remoteAddress":"127.0.0.1","userAgent":"curl/7.61.1"},"res":{"statusCode":200,"responseTime":23,"contentLength":144457},"message":"GET /login 200 23ms - 141.1KB"}
kibana_1  | {"type":"response","@timestamp":"2021-09-08T14:08:39+00:00","tags":[],"pid":1224,"method":"get","statusCode":200,"req":{"url":"/login","method":"get","headers":{"host":"127.0.0.1:5601","user-agent":"curl/7.61.1","accept":"*/*"},"remoteAddress":"127.0.0.1","userAgent":"curl/7.61.1"},"res":{"statusCode":200,"responseTime":19,"contentLength":144457},"message":"GET /login 200 19ms - 141.1KB"}
kibana_1  | {"type":"response","@timestamp":"2021-09-08T14:08:16+00:00","tags":["access:fleet-read"],"pid":1224,"method":"post","statusCode":200,"req":{"url":"/api/fleet/setup","method":"post","headers":{"host":"kibana:5601","user-agent":"Go-http-client/1.1","content-length":"0","accept":"application/json","content-type":"application/json","kbn-xsrf":"1","accept-encoding":"gzip"},"remoteAddress":"172.18.0.4","userAgent":"Go-http-client/1.1"},"res":{"statusCode":200,"responseTime":23202,"contentLength":42},"message":"POST /api/fleet/setup 200 23202ms - 42.0B"}
kibana_1  | {"type":"response","@timestamp":"2021-09-08T14:08:40+00:00","tags":["access:fleet-all"],"pid":1224,"method":"post","statusCode":200,"req":{"url":"/api/fleet/agents/setup","method":"post","headers":{"host":"kibana:5601","user-agent":"Go-http-client/1.1","content-length":"0","accept":"application/json","content-type":"application/json","kbn-xsrf":"1","accept-encoding":"gzip"},"remoteAddress":"172.18.0.4","userAgent":"Go-http-client/1.1"},"res":{"statusCode":200,"responseTime":161,"contentLength":42},"message":"POST /api/fleet/agents/setup 200 161ms - 42.0B"}
kibana_1  | {"type":"response","@timestamp":"2021-09-08T14:08:40+00:00","tags":[],"pid":1224,"method":"get","statusCode":200,"req":{"url":"/login","method":"get","headers":{"host":"127.0.0.1:5601","user-agent":"curl/7.61.1","accept":"*/*"},"remoteAddress":"127.0.0.1","userAgent":"curl/7.61.1"},"res":{"statusCode":200,"responseTime":18,"contentLength":144457},"message":"GET /login 200 18ms - 141.1KB"}
kibana_1  | {"type":"response","@timestamp":"2021-09-08T14:08:41+00:00","tags":[],"pid":1224,"method":"get","statusCode":200,"req":{"url":"/login","method":"get","headers":{"host":"127.0.0.1:5601","user-agent":"curl/7.61.1","accept":"*/*"},"remoteAddress":"127.0.0.1","userAgent":"curl/7.61.1"},"res":{"statusCode":200,"responseTime":18,"contentLength":144457},"message":"GET /login 200 18ms - 141.1KB"}
kibana_1  | {"type":"response","@timestamp":"2021-09-08T14:08:42+00:00","tags":[],"pid":1224,"method":"get","statusCode":200,"req":{"url":"/login","method":"get","headers":{"host":"127.0.0.1:5601","user-agent":"curl/7.61.1","accept":"*/*"},"remoteAddress":"127.0.0.1","userAgent":"curl/7.61.1"},"res":{"statusCode":200,"responseTime":21,"contentLength":144457},"message":"GET /login 200 21ms - 141.1KB"}
kibana_1  | {"type":"response","@timestamp":"2021-09-08T14:08:44+00:00","tags":[],"pid":1224,"method":"get","statusCode":200,"req":{"url":"/login","method":"get","headers":{"host":"127.0.0.1:5601","user-agent":"curl/7.61.1","accept":"*/*"},"remoteAddress":"127.0.0.1","userAgent":"curl/7.61.1"},"res":{"statusCode":200,"responseTime":20,"contentLength":144457},"message":"GET /login 200 20ms - 141.1KB"}
kibana_1  | {"type":"response","@timestamp":"2021-09-08T14:08:45+00:00","tags":[],"pid":1224,"method":"get","statusCode":200,"req":{"url":"/login","method":"get","headers":{"host":"127.0.0.1:5601","user-agent":"curl/7.61.1","accept":"*/*"},"remoteAddress":"127.0.0.1","userAgent":"curl/7.61.1"},"res":{"statusCode":200,"responseTime":19,"contentLength":144457},"message":"GET /login 200 19ms - 141.1KB"}
